id,list_rank,bgm_rank,name,name_cn,year,score,votes,tags,url
326,1,1,攻殻機動隊 S.A.C. 2nd GIG,攻壳机动队 S.A.C. 2nd GIG,2004,9.2,9614,科幻|菅野洋子|攻殻機動隊|攻壳机动队|神山健治|押井守|TV|Production.IG|2004|士郎正宗|Production.I.G|草薙素子|漫画改|神作|战斗|日本|ProductionI.G|漫改|2004年1月|政治|赛博朋克|经典|S.A.C.|GIG|深度|战争|人工智能|超前|艺术|攻壳,https://chii.in/subject/326
876,2,2,CLANNAD 〜AFTER STORY〜,,2008,9.2,30021,Clannad|京阿尼|key|催泪|麻枝准|神作|治愈|人生|TV|~After-Story~|治愈系|游戏改|2008年10月|galgame|恋爱|爱情|催淚|2008|GAL改|日常|日本|石原立也|京都动画|校园|亲情|京都|AS|京都アニメーション|2008年|団子大家族,https://chii.in/subject/876
324,4,5,攻殻機動隊 STAND ALONE COMPLEX,攻壳机动队 STAND ALONE COMPLEX,2002,9.1,10994,攻壳机动队|科幻|菅野洋子|神山健治|TV|士郎正宗|Production.IG|Production.I.G|2002|漫画改|草薙素子|SAC|战斗|神作|漫改|日本|ProductionI.G|2002年10月|赛博朋克|攻壳机动队:Stand|经典|攻殻機動隊|IG|御姐|押井守|政治|2002年|SF|素子|菅野よう子,https://chii.in/subject/324
10380,5,9,STEINS;GATE,命运石之门,2011,8.8,38355,科幻|中二病|牧瀬紅莉栖|嘟嘟噜|空想科学|游戏改|2011年4月|TV|花泽香菜|Nitro+|2011|宫野真守|悬疑|Steins|Gate|WHITEFOX|神作|GAL改|命运石之门|花澤香菜|日本|轮回|穿越|恋爱|佐藤卓哉|huke|中二|剧情|石头门|花田十辉,https://chii.in/subject/10380
211567,6,10,3月のライオン 第2シリーズ,3月的狮子 第二季,2017,8.8,10099,新房昭之|治愈|SHAFT|3月的狮子|漫画改|2017年10月|TV|羽海野千花|2017|漫改|将棋|日常|续作|花泽香菜|神作|日本|青春|沙发套|励志|校园|人生|竞技|成长|恋爱|催泪|新房|2017年|运动|半年番|羽海野チカ,https://chii.in/subject/211567
1428,7,11,鋼の錬金術師 FULLMETAL ALCHEMIST,钢之炼金术师 FULLMETAL ALCHEMIST,2009,8.8,23827,钢之炼金术师|BONES|骨头社|热血|漫画改|等价交换|钢炼|TV|2009年4月|2009|FA|战斗|神作|漫改|豆丁|奇幻|砍掉重炼|日本|2009年4月番|鋼煉|入江泰浩|荒川弘|砍掉重练|经典|炼金术|钉宫理惠|剧情|朴璐美|2009年|燃,https://chii.in/subject/1428
110467,8,14,SHIROBAKO,白箱,2014,8.7,22358,P.A.WORKS|原创|励志|白箱|2014年10月|水岛努|动画制作|TV|青春|职场|2014|SHIROBAKO|原创动画|百合|横手美智子|水島努|日本|日常|神作|业界|治愈|科普|吉田玲子|群像|2014年|梦想|动画|热血|半年番|搞笑,https://chii.in/subject/110467
263750,9,17,進撃の巨人 Season 3 Part.2,进击的巨人 第三季 Part.2,2019,8.7,22065,进击的巨人|WITSTUDIO|热血|战斗|漫画改|2019年4月|泽野弘之|TV|漫改|神作|2019|荒木哲郎|奇幻|续作|日本|神谷浩史|梶裕贵|肥塚正史|剧情|战争|谏山创|悬疑|2019年|小林靖子|WIT_STUDIO|肥冢正史|燃|猎奇|澤野弘之|季番,https://chii.in/subject/263750
11834,11,20,銀魂',银魂',2011,8.7,13275,银他妈|吐糟|银魂|人生的意义|灵魂支柱|必看|搞笑|JUMP|杉田智和|天然卷|2011年4月|SUNRISE|TV|猩猩|2011|漫画改|JUSTWE|战斗|热血|漫改|吐槽|日本|JUMP唯一不太算崩坏的TV|人生|神作|日常|钉宫理惠|恶搞|GINTAMA|少年系,https://chii.in/subject/11834
340,12,22,蟲師,虫师,2005,8.7,11438,治愈|虫师|奇幻|神音乐|空灵|内涵系|TV|2005|治愈系|人生|水墨|ArtLand|漫画改|蟲師|内涵|银古|银古叔|2005年10月|漫改|长滨博史|行走|日本|神作|長濵博史|选择|公路片|増田俊郎|漆原友紀|2005年|漆原友纪,https://chii.in/subject/340
247,13,23,銀魂,银魂,2006,8.7,13384,银他妈|吐槽|银魂|搞笑|JUMP|恶搞|銀魂~搞笑才是人生~|GINTAMA|TV|SUNRISE|2006|天然卷发|漫画改|銀魂|kuso|钉宫|假发|战斗|2006年4月|喜剧|杉田智和|漫改|热血|土银|日本|S田|科幻|灵魂支柱|高松信司|人生的意义,https://chii.in/subject/247
