title,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Sousou no Frieren,2023,Adventure|Drama|Fantasy|Comedy,9.28,1,817072,100.0,8.9,12.0,67529.0,92.67,,,,
Sousou no Frieren 2nd Season,2026,Adventure|Drama|Fantasy|History,9.19,2,56163,99.5,8.3,115.0,1303.0,24.0,,,,
Fullmetal Alchemist: Brotherhood,2009,Action|Adventure|Drama|Fantasy,9.1,3,2287366,99.0,,,,,8.8,3.0,23827.0,92.0
Steins;Gate,2011,Drama|Sci-Fi|Suspense|Comedy,9.07,4,1506218,98.5,8.8,16.0,90568.0,90.0,,,,
Shingeki no Kyojin Season 3 Part 2,2019,Action|Drama|Suspense|Adventure,9.05,5,1769234,98.0,8.1,134.0,21994.0,11.33,,,,
Gintama°,2015,Action|Comedy|Sci-Fi,9.05,6,270433,97.5,8.7,24.0,20494.0,84.67,7.4,19.0,9103.0,28.0
Hunter x Hunter (2011),2011,Action|Adventure|Fantasy|Short,9.03,7,1954450,97.0,8.3,94.0,1970.0,38.0,,,,
Gintama',2011,Action|Comedy|Sci-Fi,9.02,8,255367,96.5,8.7,23.0,20494.0,85.33,7.3,24.0,6211.0,8.0
Gintama': Enchousen,2012,Action|Comedy|Sci-Fi,9.02,9,178021,96.0,8.7,28.0,20494.0,82.0,7.2,25.0,5770.0,4.0
Gintama.,2017,Action|Comedy|Sci-Fi,8.98,10,158753,95.5,8.7,26.0,20494.0,83.33,7.4,23.0,7392.0,12.0
Bleach: Sennen Kessen-hen,2022,Action|Adventure|Supernatural,8.98,11,370939,95.0,9.0,7.0,73289.0,96.0,,,,
Kaguya-sama wa Kokurasetai: Ultra Romantic,2022,Comedy|Romance|Action|Adventure,8.96,12,623771,94.5,7.7,146.0,13938.0,3.33,,,,
Fruits Basket: The Final,2021,Drama|Romance|Supernatural|Comedy,8.94,13,276378,94.0,8.5,63.0,12983.0,58.67,,,,
Clannad: After Story,2008,Drama|Romance|Crime,8.93,15,695805,93.0,8.9,9.0,468861.0,94.67,9.2,1.0,30021.0,100.0
Gintama,2006,Action|Comedy|Sci-Fi|Drama,8.93,14,421316,93.5,8.5,51.0,8862.0,66.67,,,,
Kusuriya no Hitorigoto 2nd Season,2025,Drama|Mystery|History,8.91,17,238572,92.0,8.6,43.0,22476.0,72.0,,,,
Code Geass: Hangyaku no Lelouch R2,2008,Award Winning|Drama|Sci-Fi|Action,8.91,16,1285869,92.5,8.7,35.0,101012.0,77.33,8.3,6.0,17817.0,80.0
3-gatsu no Lion 2nd Season,2017,Drama|Adventure|Comedy,8.9,18,213806,91.5,8.7,34.0,1013.0,78.0,,,,
Monster,2004,Drama|Mystery|Suspense|Crime,8.89,19,501280,91.0,8.7,33.0,67444.0,78.67,,,,
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,2018,Action|Comedy|Sci-Fi,8.88,20,106147,90.5,,,,,,,,
Kusuriya no Hitorigoto,2023,Drama|Mystery|History,8.85,21,449523,90.0,8.6,46.0,22476.0,70.0,,,,
Kingdom 3rd Season,2020,Action|Adventure,8.84,22,54090,89.5,8.3,95.0,8449.0,37.33,8.0,10.0,5250.0,64.0
Vinland Saga Season 2,2023,Action|Adventure|Drama,8.82,23,467509,89.0,8.3,96.0,51454.0,36.67,8.0,11.0,29857.0,60.0
Gintama. Shirogane no Tamashii-hen,2018,Action|Comedy|Sci-Fi|Adventure|Drama,8.81,24,115005,88.5,8.4,90.0,19.0,40.67,,,,
Mob Psycho 100 II,2019,Action|Comedy|Supernatural,8.78,28,1076914,86.5,8.5,65.0,64638.0,57.33,,,,
Shingeki no Kyojin: The Final Season,2021,Action|Drama|Suspense,8.78,27,1500448,87.0,,,,,,,,
Vinland Saga,2019,Action|Adventure|Drama,8.78,25,1041595,88.0,8.8,19.0,128976.0,88.0,,,,
Hajime no Ippo,2000,Sports|Action|Comedy,8.78,26,337576,87.5,8.8,20.0,17151.0,87.33,,,,
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,2016,Sports|Comedy|Fantasy,8.77,30,867011,85.5,8.3,103.0,15253.0,32.0,,,,
Shingeki no Kyojin: The Final Season Part 2,2022,Action|Drama|Suspense,8.77,29,913668,86.0,,,,,,,,
Monogatari Series: Second Season,2013,Comedy|Mystery|Romance|Supernatural|Adventure,8.76,31,378110,85.0,8.6,48.0,3697.0,68.67,,,,
Boku no Hero Academia: Final Season,2025,Action,8.73,32,133126,84.5,,,,,,,,
Kingdom 5th Season,2024,Action|Comedy,8.73,33,27400,84.0,8.5,69.0,181.0,54.67,,,,
Bocchi the Rock!,2022,Comedy|Drama,8.73,34,465317,83.5,8.3,100.0,8252.0,34.0,,,,
Kingdom 4th Season,2022,Action|Comedy,8.73,35,39630,83.0,8.5,66.0,181.0,56.67,,,,
Hibike! Euphonium 3,2024,Drama|History,8.72,36,37593,82.5,8.4,80.0,6208.0,47.33,,,,
Mushishi Zoku Shou 2nd Season,2014,Adventure|Mystery|Slice of Life|Supernatural|Drama|Fantasy,8.72,37,115788,82.0,8.8,17.0,3604.0,89.33,,,,
86 Part 2,2021,Drama|Sci-Fi|Action,8.72,38,365760,81.5,8.2,122.0,14019.0,19.33,7.7,13.0,12338.0,52.0
Chi. Chikyuu no Undou ni Tsuite,2024,Drama|History,8.71,41,110096,80.0,8.4,74.0,6208.0,51.33,,,,
Code Geass: Hangyaku no Lelouch,2006,Award Winning|Drama|Sci-Fi|Action,8.71,42,1508064,79.5,8.7,27.0,101016.0,82.67,8.3,7.0,21319.0,76.0
Mob Psycho 100 III,2022,Action|Comedy|Supernatural,8.71,39,434491,81.0,,,,,,,,
Jujutsu Kaisen 2nd Season,2023,Action|Supernatural|Adventure,8.71,40,786899,80.5,7.5,148.0,15780.0,2.0,,,,
Boku no Kokoro no Yabai Yatsu 2nd Season,2024,Comedy|Romance|Drama|History,8.7,43,170131,79.0,8.4,81.0,6208.0,46.67,,,,
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,2023,Action|Adventure|Supernatural,8.7,44,226792,78.5,9.0,8.0,73293.0,95.33,,,,
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,2017,Drama,8.7,45,69484,78.0,8.4,84.0,1197.0,44.67,,,,
Kimetsu no Yaiba: Yuukaku-hen,2022,Action|Supernatural|Adventure,8.7,46,1098180,77.5,8.6,42.0,219069.0,72.67,,,,
Kingdom 6th Season,2025,Action|Drama|Sci-Fi,8.69,47,14782,77.0,8.7,30.0,24491.0,80.67,,,,
Violet Evergarden,2018,Drama|Fantasy,8.69,48,1078842,76.5,8.4,75.0,39704.0,50.67,,,,
Mushishi Zoku Shou,2014,Adventure|Mystery|Slice of Life|Supernatural|Drama|Fantasy,8.68,49,127540,76.0,8.8,13.0,3604.0,92.0,,,,
Uma Musume: Cinderella Gray Part 2,2025,Drama|Sports|Horror,8.67,52,26771,74.5,7.9,141.0,6373.0,6.67,,,,
Bleach: Sennen Kessen-hen - Soukoku-tan,2024,Action|Adventure|Supernatural,8.67,51,148763,75.0,9.0,6.0,73293.0,96.67,,,,
Hajime no Ippo: New Challenger,2009,Sports|Action|Comedy,8.67,50,187210,75.5,8.8,14.0,4498.0,91.33,,,,
Mushishi,2005,Adventure|Mystery|Slice of Life|Supernatural|Drama|Fantasy,8.65,53,296180,74.0,8.5,68.0,16037.0,55.33,,,,
Tengen Toppa Gurren Lagann,2007,Adventure|Award Winning|Sci-Fi|Action,8.64,54,968161,73.5,8.3,119.0,25839.0,21.33,,,,
Shigatsu wa Kimi no Uso,2014,Drama|Romance|Comedy,8.64,55,1455109,73.0,8.5,67.0,48589.0,56.0,7.5,17.0,18911.0,36.0
Shingeki no Kyojin Season 3,2018,Action|Drama|Suspense|Thriller,8.64,56,1787622,72.5,7.7,147.0,22020.0,2.67,,,,
Made in Abyss,2017,Adventure|Drama|Fantasy|Mystery|Sci-Fi|Action,8.63,57,828919,72.0,8.3,117.0,20608.0,22.67,,,,
Natsume Yuujinchou Shi,2012,Slice of Life|Supernatural|Comedy|Sci-Fi,8.63,58,116970,71.5,8.3,110.0,4385.0,27.33,,,,
Ping Pong the Animation,2014,Award Winning|Drama|Sports|Sport,8.63,59,202263,71.0,8.6,38.0,6003.0,75.33,,,,
Odd Taxi,2021,Award Winning|Drama|Mystery|Suspense|Comedy|Crime,8.63,60,247458,70.5,8.4,85.0,7580.0,44.0,,,,
Ikoku Nikki,2026,Drama,8.62,63,9092,69.0,8.8,22.0,302.0,86.0,,,,
Death Note,2006,Supernatural|Suspense|Crime|Drama,8.62,61,2973615,70.0,8.9,11.0,468861.0,93.33,7.7,14.0,7174.0,48.0
Haikyuu!! Second Season,2015,Sports|Comedy|Fantasy,8.62,62,1019669,69.5,8.3,108.0,15253.0,28.67,,,,
Bungou Stray Dogs 5th Season,2023,Action|Mystery,8.61,64,117845,68.5,,,,,,,,
Natsume Yuujinchou Roku,2017,Slice of Life|Supernatural|Action|Drama,8.61,65,75877,68.0,8.7,32.0,101016.0,79.33,,,,
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,2020,Comedy|Romance|Drama,8.61,66,949470,67.5,8.5,70.0,28175.0,54.0,,,,
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,2021,Adventure|Drama|Fantasy|Ecchi|Action,8.61,67,692914,67.0,8.2,129.0,35340.0,14.67,,,,
Hajime no Ippo: Rising,2013,Sports|Action|Comedy,8.61,68,161899,66.5,8.7,36.0,4045.0,76.67,,,,
Made in Abyss: Retsujitsu no Ougonkyou,2022,Adventure|Drama|Fantasy|Mystery|Sci-Fi,8.6,69,255997,66.0,,,,,,,,
