rank,title,score,scored_by,members,year,genres,url
1,Sousou no Frieren,9.28,817072,1344343,2023,Adventure|Drama|Fantasy,https://myanimelist.net/anime/52991/Sousou_no_Frieren
2,Sousou no Frieren 2nd Season,9.19,56163,400261,2026,Adventure|Drama|Fantasy,https://myanimelist.net/anime/59978/Sousou_no_Frieren_2nd_Season
4,Fullmetal Alchemist: Brotherhood,9.1,2287366,3640863,2009,Action|Adventure|Drama|Fantasy,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
5,Steins;Gate,9.07,1506218,2782916,2011,Drama|Sci-Fi|Suspense,https://myanimelist.net/anime/9253/Steins_Gate
6,Shingeki no Kyojin Season 3 Part 2,9.05,1769234,2555493,2019,Action|Drama|Suspense,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
8,Gintama°,9.05,270433,685710,2015,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/28977/Gintama°
9,Hunter x Hunter (2011),9.03,1954450,3146666,2011,Action|Adventure|Fantasy,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
11,Gintama',9.02,255367,607563,2011,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/9969/Gintama
12,Gintama': Enchousen,9.02,178021,355191,2012,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/15417/Gintama__Enchousen
15,Gintama.,8.98,158753,345500,2017,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/34096/Gintama
14,Bleach: Sennen Kessen-hen,8.98,370939,687910,2022,Action|Adventure|Supernatural,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen
16,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,623771,1091910,2022,Comedy|Romance,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic
17,Fruits Basket: The Final,8.94,276378,555259,2021,Drama|Romance|Supernatural,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
18,Clannad: After Story,8.93,695805,1275634,2008,Drama|Romance,https://myanimelist.net/anime/4181/Clannad__After_Story
19,Gintama,8.93,421316,1144934,2006,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/918/Gintama
21,Kusuriya no Hitorigoto 2nd Season,8.91,238572,468692,2025,Drama|Mystery,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season
22,Code Geass: Hangyaku no Lelouch R2,8.91,1285869,1934140,2008,Award Winning|Drama|Sci-Fi,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
23,3-gatsu no Lion 2nd Season,8.9,213806,435118,2017,Drama,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
25,Monster,8.89,501280,1304854,2004,Drama|Mystery|Suspense,https://myanimelist.net/anime/19/Monster
26,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,106147,223760,2018,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen
29,Kusuriya no Hitorigoto,8.85,449523,799456,2023,Drama|Mystery,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
30,Kingdom 3rd Season,8.84,54090,131070,2020,Action,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
34,Vinland Saga Season 2,8.82,467509,829908,2023,Action|Adventure|Drama,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
35,Gintama. Shirogane no Tamashii-hen,8.81,115005,235779,2018,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen
41,Mob Psycho 100 II,8.78,1076914,1706022,2019,Action|Comedy|Supernatural,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
38,Shingeki no Kyojin: The Final Season,8.78,1500448,2255797,2021,Action|Drama|Suspense,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
39,Vinland Saga,8.78,1041595,1786160,2019,Action|Adventure|Drama,https://myanimelist.net/anime/37521/Vinland_Saga
37,Hajime no Ippo,8.78,337576,683919,2000,Sports,https://myanimelist.net/anime/263/Hajime_no_Ippo
42,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,867011,1315256,2016,Sports,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
44,Shingeki no Kyojin: The Final Season Part 2,8.77,913668,1530453,2022,Action|Drama|Suspense,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
46,Monogatari Series: Second Season,8.76,378110,714194,2013,Comedy|Mystery|Romance|Supernatural,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
49,Boku no Hero Academia: Final Season,8.73,133126,274413,2025,Action,https://myanimelist.net/anime/60098/Boku_no_Hero_Academia__Final_Season
51,Kingdom 5th Season,8.73,27400,60360,2024,Action,https://myanimelist.net/anime/53223/Kingdom_5th_Season
48,Bocchi the Rock!,8.73,465317,769568,2022,Comedy,https://myanimelist.net/anime/47917/Bocchi_the_Rock
50,Kingdom 4th Season,8.73,39630,88218,2022,Action,https://myanimelist.net/anime/50160/Kingdom_4th_Season
56,Hibike! Euphonium 3,8.72,37593,95460,2024,Drama,https://myanimelist.net/anime/39894/Hibike_Euphonium_3
54,Mushishi Zoku Shou 2nd Season,8.72,115788,290650,2014,Adventure|Mystery|Slice of Life|Supernatural,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
55,86 Part 2,8.72,365760,627612,2021,Drama|Sci-Fi,https://myanimelist.net/anime/48569/86_Part_2
