rank,title,score,scored_by,members,year,genres
1,Sousou no Frieren,9.28,817072,1344343,2023,Adventure|Drama|Fantasy
2,Sousou no Frieren 2nd Season,9.19,56163,400261,2026,Adventure|Drama|Fantasy
4,Fullmetal Alchemist: Brotherhood,9.1,2287366,3640863,2009,Action|Adventure|Drama|Fantasy
5,Steins;Gate,9.07,1506218,2782916,2011,Drama|Sci-Fi|Suspense
6,Shingeki no Kyojin Season 3 Part 2,9.05,1769234,2555493,2019,Action|Drama|Suspense
8,Gintama°,9.05,270433,685710,2015,Action|Comedy|Sci-Fi
9,Hunter x Hunter (2011),9.03,1954450,3146666,2011,Action|Adventure|Fantasy
11,Gintama',9.02,255367,607563,2011,Action|Comedy|Sci-Fi
12,Gintama': Enchousen,9.02,178021,355191,2012,Action|Comedy|Sci-Fi
15,Gintama.,8.98,158753,345500,2017,Action|Comedy|Sci-Fi
14,Bleach: Sennen Kessen-hen,8.98,370939,687910,2022,Action|Adventure|Supernatural
16,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,623771,1091910,2022,Comedy|Romance
17,Fruits Basket: The Final,8.94,276378,555259,2021,Drama|Romance|Supernatural
18,Clannad: After Story,8.93,695805,1275634,2008,Drama|Romance
19,Gintama,8.93,421316,1144934,2006,Action|Comedy|Sci-Fi
21,Kusuriya no Hitorigoto 2nd Season,8.91,238572,468692,2025,Drama|Mystery
22,Code Geass: Hangyaku no Lelouch R2,8.91,1285869,1934140,2008,Award Winning|Drama|Sci-Fi
23,3-gatsu no Lion 2nd Season,8.9,213806,435118,2017,Drama
25,Monster,8.89,501280,1304854,2004,Drama|Mystery|Suspense
26,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,106147,223760,2018,Action|Comedy|Sci-Fi
29,Kusuriya no Hitorigoto,8.85,449523,799456,2023,Drama|Mystery
30,Kingdom 3rd Season,8.84,54090,131070,2020,Action
34,Vinland Saga Season 2,8.82,467509,829908,2023,Action|Adventure|Drama
35,Gintama. Shirogane no Tamashii-hen,8.81,115005,235779,2018,Action|Comedy|Sci-Fi
41,Mob Psycho 100 II,8.78,1076914,1706022,2019,Action|Comedy|Supernatural
36,Ashita no Joe 2,8.78,25664,66329,1980,Drama|Sports
38,Shingeki no Kyojin: The Final Season,8.78,1500448,2255797,2021,Action|Drama|Suspense
39,Vinland Saga,8.78,1041595,1786160,2019,Action|Adventure|Drama
37,Hajime no Ippo,8.78,337576,683919,2000,Sports
42,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,867011,1315256,2016,Sports
44,Shingeki no Kyojin: The Final Season Part 2,8.77,913668,1530453,2022,Action|Drama|Suspense
46,Monogatari Series: Second Season,8.76,378110,714194,2013,Comedy|Mystery|Romance|Supernatural
47,Cowboy Bebop,8.75,1051040,2035144,1998,Action|Award Winning|Sci-Fi
49,Boku no Hero Academia: Final Season,8.73,133126,274413,2025,Action
51,Kingdom 5th Season,8.73,27400,60360,2024,Action
48,Bocchi the Rock!,8.73,465317,769568,2022,Comedy
50,Kingdom 4th Season,8.73,39630,88218,2022,Action
52,One Piece,8.73,1505391,2639251,1999,Action|Adventure|Fantasy
56,Hibike! Euphonium 3,8.72,37593,95460,2024,Drama
54,Mushishi Zoku Shou 2nd Season,8.72,115788,290650,2014,Adventure|Mystery|Slice of Life|Supernatural
55,86 Part 2,8.72,365760,627612,2021,Drama|Sci-Fi
57,Chi. Chikyuu no Undou ni Tsuite,8.71,110096,276143,2024,Drama
58,Code Geass: Hangyaku no Lelouch,8.71,1508064,2445193,2006,Award Winning|Drama|Sci-Fi
62,Mob Psycho 100 III,8.71,434491,842382,2022,Action|Comedy|Supernatural
61,Jujutsu Kaisen 2nd Season,8.71,786899,1341724,2023,Action|Supernatural
65,Boku no Kokoro no Yabai Yatsu 2nd Season,8.7,170131,298729,2024,Comedy|Romance
64,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,226792,400544,2023,Action|Adventure|Supernatural
66,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,69484,200954,2017,Drama
63,Kimetsu no Yaiba: Yuukaku-hen,8.7,1098180,1710544,2022,Action|Supernatural
70,Kingdom 6th Season,8.69,14782,35084,2025,Action
69,Violet Evergarden,8.69,1078842,1973556,2018,Drama
72,Mushishi Zoku Shou,8.68,127540,324603,2014,Adventure|Mystery|Slice of Life|Supernatural
73,Great Teacher Onizuka,8.68,445091,910628,1999,Comedy
77,Uma Musume: Cinderella Gray Part 2,8.67,26771,55528,2025,Drama|Sports
74,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,148763,282517,2024,Action|Adventure|Supernatural
75,Hajime no Ippo: New Challenger,8.67,187210,322461,2009,Sports
81,Mushishi,8.65,296180,898608,2005,Adventure|Mystery|Slice of Life|Supernatural
86,Tengen Toppa Gurren Lagann,8.64,968161,1749408,2007,Adventure|Award Winning|Sci-Fi
83,Shigatsu wa Kimi no Uso,8.64,1455109,2396328,2014,Drama|Romance
85,Shingeki no Kyojin Season 3,8.64,1787622,2630389,2018,Action|Drama|Suspense
89,Made in Abyss,8.63,828919,1534735,2017,Adventure|Drama|Fantasy|Mystery|Sci-Fi
91,Natsume Yuujinchou Shi,8.63,116970,264580,2012,Slice of Life|Supernatural
92,Ping Pong the Animation,8.63,202263,435189,2014,Award Winning|Drama|Sports
92,Odd Taxi,8.63,247458,502685,2021,Award Winning|Drama|Mystery|Suspense
93,Ikoku Nikki,8.62,9092,65880,2026,Drama
96,Death Note,8.62,2973615,4249694,2006,Supernatural|Suspense
98,Haikyuu!! Second Season,8.62,1019669,1553208,2015,Sports
99,Bungou Stray Dogs 5th Season,8.61,117845,252511,2023,Action|Mystery
107,Natsume Yuujinchou Roku,8.61,75877,204489,2017,Slice of Life|Supernatural
103,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.61,949470,1483083,2020,Comedy|Romance
106,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.61,692914,1100673,2021,Adventure|Drama|Fantasy|Ecchi
101,Hajime no Ippo: Rising,8.61,161899,295200,2013,Sports
104,Kenpuu Denki Berserk,8.61,407081,755508,1997,Action|Adventure|Drama|Fantasy|Horror
109,Made in Abyss: Retsujitsu no Ougonkyou,8.6,255997,531066,2022,Adventure|Drama|Fantasy|Mystery|Sci-Fi
110,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,8.59,53137,360731,2026,Action|Supernatural
111,Dungeon Meshi,8.59,288498,562022,2024,Adventure|Comedy|Fantasy|Gourmet
117,Natsume Yuujinchou Shichi,8.58,17661,56934,2024,Slice of Life|Supernatural
