sort,rank,title,rating,rating_count,year,url,genres
popularity,1,Shingeki no kyojin,9.1,691852,2013,https://www.imdb.com/title/tt2560140/,Animation|Action|Adventure
popularity,2,Jujutsu Kaisen,8.5,188984,2020,https://www.imdb.com/title/tt12343534/,Animation|Action|Adventure
popularity,3,Sôsô no Furîren,8.9,67521,2023,https://www.imdb.com/title/tt22248376/,Animation|Adventure|Comedy
popularity,4,Vinland Saga,8.8,128959,2019,https://www.imdb.com/title/tt10233448/,Animation|Action|Adventure
popularity,5,Boku no Hîrô Akademia,8.2,116044,2016,https://www.imdb.com/title/tt5626028/,Animation|Action|Adventure
popularity,6,Death Note: Desu nôto,8.9,468834,2006,https://www.imdb.com/title/tt0877057/,Animation|Crime|Drama
popularity,7,Kimetsu no Yaiba,8.6,219069,2019,https://www.imdb.com/title/tt9335498/,Animation|Action|Adventure
popularity,8,Hunter x Hunter,9,188575,2011,https://www.imdb.com/title/tt2098220/,Animation|Action|Adventure
popularity,9,Hagane no renkinjutsushi,9.1,243111,2009,https://www.imdb.com/title/tt1355642/,Animation|Action|Adventure
popularity,10,Ore dake reberu appu na ken,8.5,104967,2024,https://www.imdb.com/title/tt21209876/,Animation|Action|Adventure
popularity,11,Jigokuraku,8.1,27190,2023,https://www.imdb.com/title/tt13911284/,Animation|Action|Adventure
popularity,12,Naruto: Shippûden,8.7,217267,2007,https://www.imdb.com/title/tt0988824/,Animation|Action|Adventure
popularity,13,Yûsha-kei ni Shosu Chôbatsu Yûsha 9004-tai Keimu Kiroku,8.4,2892,2026,https://www.imdb.com/title/tt32536168/,Animation|Action|Adventure
popularity,14,JoJo no Kimyô na Bôken,8.5,51175,2012,https://www.imdb.com/title/tt2359704/,Animation|Action|Adventure
popularity,15,One Punch Man: Wanpanman,8.6,221879,2015,https://www.imdb.com/title/tt4508902/,Animation|Action|Comedy
popularity,16,Naruto,8.4,163385,2002,https://www.imdb.com/title/tt0409591/,Animation|Action|Adventure
popularity,17,Kôdo Giasu: Hangyaku no Rurûshu,8.7,101012,2006,https://www.imdb.com/title/tt0994314/,Animation|Action|Drama
popularity,18,Monster,8.7,67436,2004,https://www.imdb.com/title/tt0434706/,Animation|Crime|Drama
popularity,19,Bleach,8.2,89686,2004,https://www.imdb.com/title/tt0434665/,Animation|Action|Adventure
popularity,20,Chainsaw Man,8.3,97266,2022,https://www.imdb.com/title/tt13616990/,Animation|Action|Comedy
user_rating,1,Shingeki no kyojin,9.1,691852,2013,https://www.imdb.com/title/tt2560140/,Animation|Action|Adventure
user_rating,2,Hagane no renkinjutsushi,9.1,243111,2009,https://www.imdb.com/title/tt1355642/,Animation|Action|Adventure
user_rating,3,Hunter x Hunter,9,188575,2011,https://www.imdb.com/title/tt2098220/,Animation|Action|Adventure
user_rating,4,Bleach: Sennen Kessen-hen,9,73289,2022,https://www.imdb.com/title/tt14986406/,Animation|Action|Adventure
user_rating,5,Sôsô no Furîren,8.9,67521,2023,https://www.imdb.com/title/tt22248376/,Animation|Adventure|Comedy
user_rating,6,Death Note: Desu nôto,8.9,468834,2006,https://www.imdb.com/title/tt0877057/,Animation|Crime|Drama
user_rating,7,Aikatsu Stars!,8.9,1957,2016,https://www.imdb.com/title/tt9864008/,Animation|Adventure|Comedy
user_rating,8,Vinland Saga,8.8,128959,2019,https://www.imdb.com/title/tt10233448/,Animation|Action|Adventure
user_rating,9,Steins;Gate,8.8,90560,2011,https://www.imdb.com/title/tt1910272/,Animation|Comedy|Drama
user_rating,10,Kingdom,8.8,6195,2012,https://www.imdb.com/title/tt2404499/,Animation|Action|Drama
user_rating,11,Hajime no Ippo,8.8,17149,2000,https://www.imdb.com/title/tt0481256/,Animation|Action|Comedy
user_rating,12,Ikoku Nikki,8.8,301,2026,https://www.imdb.com/title/tt32336365/,Animation|Drama
user_rating,13,Hajime no Ippo: New Challenger,8.8,4498,2009,https://www.imdb.com/title/tt1992744/,Animation|Action|Comedy
user_rating,14,Mushishi Zoku Shou,8.8,3604,2014,https://www.imdb.com/title/tt3443522/,Animation|Drama|Fantasy
user_rating,15,Shutsugeki! Machine Robo Rescue,8.8,95,2003,https://www.imdb.com/title/tt0352099/,Animation|Family|Sci-Fi
user_rating,16,Naruto: Shippûden,8.7,217267,2007,https://www.imdb.com/title/tt0988824/,Animation|Action|Adventure
user_rating,17,Kôdo Giasu: Hangyaku no Rurûshu,8.7,101012,2006,https://www.imdb.com/title/tt0994314/,Animation|Action|Drama
user_rating,18,Monster,8.7,67436,2004,https://www.imdb.com/title/tt0434706/,Animation|Crime|Drama
user_rating,19,Gintama,8.7,20494,2006,https://www.imdb.com/title/tt0988818/,Animation|Action|Comedy
user_rating,20,Haikyû!!,8.7,51816,2014,https://www.imdb.com/title/tt3398540/,Animation|Comedy|Drama
