sort,rank,title,rating,rating_count,year,url,genres
popularity,1,Shingeki no kyojin,9.1,691912,2013,https://www.imdb.com/title/tt2560140/,Animation|Action|Adventure
popularity,2,Jujutsu Kaisen,8.5,189010,2020,https://www.imdb.com/title/tt12343534/,Animation|Action|Adventure
popularity,3,Sôsô no Furîren,8.9,67529,2023,https://www.imdb.com/title/tt22248376/,Animation|Adventure|Comedy
popularity,4,Vinland Saga,8.8,128976,2019,https://www.imdb.com/title/tt10233448/,Animation|Action|Adventure
popularity,5,Boku no Hîrô Akademia,8.2,116044,2018,https://www.imdb.com/title/tt5626028/,Animation|Action|Adventure
popularity,6,Death Note: Desu nôto,8.9,468861,2007,https://www.imdb.com/title/tt0877057/,Animation|Crime|Drama
popularity,7,Kimetsu no Yaiba,8.6,219069,2021,https://www.imdb.com/title/tt9335498/,Animation|Action|Adventure
popularity,8,Hunter x Hunter,9,187509,2016,https://www.imdb.com/title/tt2098220/,Animation|Action|Adventure
popularity,9,Hagane no renkinjutsushi,9.1,243125,2009,https://www.imdb.com/title/tt1355642/,Animation|Action|Adventure
popularity,10,Ore dake reberu appu na ken,8.5,104977,2024,https://www.imdb.com/title/tt21209876/,Animation|Action|Adventure
popularity,11,Jigokuraku,8.1,26957,2023,https://www.imdb.com/title/tt13911284/,Animation|Action|Adventure
popularity,12,Naruto: Shippûden,8.7,217267,2009,https://www.imdb.com/title/tt0988824/,Animation|Action|Adventure
popularity,13,Yûsha-kei ni Shosu Chôbatsu Yûsha 9004-tai Keimu Kiroku,8.4,2893,2026,https://www.imdb.com/title/tt32536168/,Animation|Action|Adventure
popularity,14,JoJo no Kimyô na Bôken,8.5,51183,2012,https://www.imdb.com/title/tt2359704/,Animation|Action|Adventure
popularity,15,One Punch Man: Wanpanman,8.6,221886,2015,https://www.imdb.com/title/tt4508902/,Animation|Action|Comedy
popularity,16,Naruto,8.4,163390,2005,https://www.imdb.com/title/tt0409591/,Animation|Action|Adventure
popularity,17,Kôdo Giasu: Hangyaku no Rurûshu,8.7,101012,,https://www.imdb.com/title/tt0994314/,Animation|Action|Drama
popularity,18,Monster,8.7,67444,2004,https://www.imdb.com/title/tt0434706/,Animation|Crime|Drama
popularity,19,Bleach,8.2,89694,2006,https://www.imdb.com/title/tt0434665/,Animation|Action|Adventure
popularity,20,Chainsaw Man,8.3,97266,2022,https://www.imdb.com/title/tt13616990/,Animation|Action|Comedy
popularity,21,Enen no Shôbôtai,7.6,17647,2019,https://www.imdb.com/title/tt9307686/,Animation|Action|Drama
popularity,22,Bleach: Sennen Kessen-hen,9,73289,2022,https://www.imdb.com/title/tt14986406/,Animation|Action|Adventure
popularity,23,Cyberpunk: Edgerunners,8.3,121577,2022,https://www.imdb.com/title/tt12590266/,Animation|Action|Adventure
popularity,24,Black Clover,8.2,47461,2017,https://www.imdb.com/title/tt7441658/,Animation|Action|Adventure
popularity,25,Re:Zero kara Hajimeru Isekai Seikatsu,8.1,39436,2016,https://www.imdb.com/title/tt5607616/,Animation|Adventure|Drama
popularity,26,Fate/strange Fake,8.3,1110,2024,https://www.imdb.com/title/tt32864316/,Animation|Action|Adventure
popularity,27,Gachiakuta,8,11323,2025,https://www.imdb.com/title/tt32612521/,Animation|Action|Adventure
popularity,28,Terminator Zero,6.9,13257,2024,https://www.imdb.com/title/tt14153236/,Animation|Action|Adventure
popularity,29,Steins;Gate,8.8,90568,2011,https://www.imdb.com/title/tt1910272/,Animation|Comedy|Drama
popularity,30,Dandadan,8.3,51454,2024,https://www.imdb.com/title/tt30217403/,Animation|Action|Adventure
popularity,31,Gintama,8.7,20494,,https://www.imdb.com/title/tt0988818/,Animation|Action|Comedy
popularity,32,Kusuriya no Hitorigoto,8.6,22476,2023,https://www.imdb.com/title/tt26743760/,Animation|Drama|History
popularity,33,Supai Famirî,8.2,59800,2022,https://www.imdb.com/title/tt13706018/,Animation|Action|Comedy
popularity,34,Mob Psycho 100,8.5,64638,2018,https://www.imdb.com/title/tt5897304/,Animation|Action|Comedy
popularity,35,The Boondocks,8.5,41005,2005,https://www.imdb.com/title/tt0373732/,Animation|Action|Comedy
popularity,36,Haikyû!!,8.7,51821,2014,https://www.imdb.com/title/tt3398540/,Animation|Comedy|Drama
popularity,37,Oshi no Ko,8.2,14980,2023,https://www.imdb.com/title/tt21030032/,Animation|Drama|Fantasy
popularity,38,Tokyo Ghoul,7.7,80128,2014,https://www.imdb.com/title/tt3741634/,Animation|Action|Drama
popularity,39,Mushoku Tensei: Isekai Ittara Honki Dasu,8.2,35340,2022,https://www.imdb.com/title/tt13293588/,Animation|Action|Adventure
popularity,41,Dr.STONE,8.1,41227,2019,https://www.imdb.com/title/tt9679542/,Animation|Action|Adventure
popularity,42,Boku dake ga inai machi,8.4,72747,2016,https://www.imdb.com/title/tt5249462/,Animation|Crime|Drama
popularity,43,Kaiju No. 8,8.2,30443,2024,https://www.imdb.com/title/tt21975436/,Animation|Action|Adventure
popularity,44,Takopii no genzai,8.7,24491,2025,https://www.imdb.com/title/tt36988358/,Animation|Drama|Sci-Fi
popularity,45,Shigatsu wa kimi no uso,8.5,48589,2014,https://www.imdb.com/title/tt3895150/,Animation|Comedy|Drama
popularity,46,Yakusoku no Neverland,8.1,57146,2019,https://www.imdb.com/title/tt8788458/,Animation|Action|Adventure
popularity,47,Purizumu Rondo,8.3,1303,2026,https://www.imdb.com/title/tt39050141/,Animation|Drama|History
popularity,48,Violet Evergarden,8.4,39704,2020,https://www.imdb.com/title/tt7078180/,Animation|Drama|Fantasy
popularity,49,Sôru îtâ,7.7,16504,2008,https://www.imdb.com/title/tt1214085/,Animation|Action|Adventure
popularity,50,Tongari Bôshi no Atorie,8.4,19,,https://www.imdb.com/title/tt32550889/,Animation|Adventure|Drama
popularity,51,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren&apos;ai zunô sen ~,8.5,28175,2019,https://www.imdb.com/title/tt9522300/,Animation|Comedy|Drama
popularity,52,Dragon Ball Super: Doragon bôru cho,8.3,44611,2017,https://www.imdb.com/title/tt4644488/,Animation|Action|Adventure
popularity,53,Burû Rokku,8.1,30377,2022,https://www.imdb.com/title/tt15222080/,Animation|Sport|Thriller
popularity,54,Kaoru Hana wa Rin to Saku,8.3,10992,2025,https://www.imdb.com/title/tt36592690/,Animation|Comedy|Drama
popularity,56,Sword Art Online,7.5,61559,2012,https://www.imdb.com/title/tt2250192/,Animation|Action|Adventure
popularity,57,Hagane no renkinjutsushi,8.5,85466,2004,https://www.imdb.com/title/tt0421357/,Animation|Action|Adventure
popularity,58,Tensei Shitara Suraimu Datta Ken,8,22734,2018,https://www.imdb.com/title/tt9054364/,Animation|Action|Adventure
popularity,59,Made in Abyss,8.3,20608,2017,https://www.imdb.com/title/tt7222086/,Animation|Action|Adventure
popularity,60,Kingdom,8.8,6196,2012,https://www.imdb.com/title/tt2404499/,Animation|Action|Drama
popularity,61,Hajime no Ippo,8.8,17151,2000,https://www.imdb.com/title/tt0481256/,Animation|Action|Comedy
popularity,62,Kage no Jitsuryokusha ni Naritakute!,7.7,13938,2022,https://www.imdb.com/title/tt14115938/,Animation|Action|Adventure
popularity,63,Kiseijû: Sei no kakuritsu,8.2,61388,2016,https://www.imdb.com/title/tt3358020/,Animation|Action|Drama
popularity,64,Sakamoto Deizu,7.5,15437,2025,https://www.imdb.com/title/tt17069148/,Animation|Action|Adventure
popularity,65,Mato Seihei no Slave,6.2,2512,2024,https://www.imdb.com/title/tt16156736/,Animation|Action|Fantasy
popularity,66,Hikaru ga Shinda Natsu,7.9,6373,2025,https://www.imdb.com/title/tt33028568/,Animation|Drama|Horror
popularity,67,Golden Kamuy,8,3473,2018,https://www.imdb.com/title/tt8225204/,Animation|Action|Adventure
popularity,68,Dororo,8.2,28462,2019,https://www.imdb.com/title/tt9458304/,Animation|Action|Adventure
popularity,69,86,8.2,14019,2021,https://www.imdb.com/title/tt13718450/,Animation|Action|Drama
popularity,70,Yôkoso jitsuryoku shijô shugi no kyôshitsu e,7.7,22020,2017,https://www.imdb.com/title/tt7263328/,Animation|Drama|Thriller
popularity,71,Tengen toppa gurren lagann,8.3,25839,2007,https://www.imdb.com/title/tt0948103/,Animation|Action|Adventure
popularity,72,Danjon meshi,8,13734,2024,https://www.imdb.com/title/tt21621494/,Animation|Adventure|Comedy
popularity,73,Samurai Chanpurû,8.5,62899,2005,https://www.imdb.com/title/tt0423731/,Animation|Action|Adventure
popularity,74,Devil May Cry,7.4,28111,2025,https://www.imdb.com/title/tt15716776/,Animation|Action|Adventure
popularity,75,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,8.2,13708,2011,https://www.imdb.com/title/tt1773185/,Animation|Action|Adventure
popularity,76,Tôkyô Ribenjâzu,7.7,32748,2021,https://www.imdb.com/title/tt13196080/,Animation|Action|Drama
popularity,77,Nana,8.5,8862,2006,https://www.imdb.com/title/tt0810705/,Animation|Comedy|Drama
popularity,78,Sono bisuku dôru wa koi o suru,7.9,24648,2022,https://www.imdb.com/title/tt15765670/,Animation|Comedy|Romance
popularity,79,Fumetsu no Anata e,8.3,12515,2021,https://www.imdb.com/title/tt12063450/,Animation|Adventure|Drama
popularity,80,Teen Titans,7.9,42768,2003,https://www.imdb.com/title/tt0343314/,Animation|Action|Adventure
popularity,81,Pluto,8.1,19622,2023,https://www.imdb.com/title/tt26737616/,Animation|Action|Drama
popularity,82,She-Ra and the Princesses of Power,8.1,21994,2018,https://www.imdb.com/title/tt7745956/,Animation|Action|Adventure
popularity,83,Nanatsu no taizai,7.7,45351,2015,https://www.imdb.com/title/tt3909224/,Animation|Action|Adventure
popularity,84,Akame ga Kill!,7.7,36908,2016,https://www.imdb.com/title/tt3742982/,Animation|Action|Comedy
popularity,85,Seishun buta yaro wa Bunny Girl-senpai no yume wo minai,8,24840,2018,https://www.imdb.com/title/tt8993398/,Animation|Drama|Fantasy
popularity,86,Shûmatsu no Valkyrie,6.6,12472,2021,https://www.imdb.com/title/tt13676344/,Animation|Action|Adventure
popularity,87,Devilman: Crybaby,7.6,35210,2018,https://www.imdb.com/title/tt6660498/,Animation|Action|Drama
popularity,88,Boruto: Naruto Next Generations,6.3,34174,2017,https://www.imdb.com/title/tt6342474/,Animation|Action|Adventure
popularity,89,Fairy Tail,7.9,31898,2011,https://www.imdb.com/title/tt1528406/,Animation|Action|Adventure
popularity,90,Mashle: Magic and Muscles,7.5,15780,2023,https://www.imdb.com/title/tt21209804/,Animation|Action|Adventure
popularity,91,Seihantai na Kimi to Boku,8.2,438,2026,https://www.imdb.com/title/tt37532731/,Animation|Comedy|Romance
popularity,92,Kangoku gakuen,7.5,9878,2015,https://www.imdb.com/title/tt4917066/,Animation|Comedy
popularity,93,Hori-san to Miyamura-kun,8,23523,2021,https://www.imdb.com/title/tt13103134/,Animation|Comedy|Drama
popularity,94,Trigun Stargaze,7.2,150,2026,https://www.imdb.com/title/tt36294552/,Animation|Action|Adventure
popularity,95,Ikoku Nikki,8.8,302,2026,https://www.imdb.com/title/tt32336365/,Animation|Drama
popularity,96,Hellsing Ultimate,8.2,30569,2006,https://www.imdb.com/title/tt0495212/,Animation|Action|Fantasy
popularity,97,Tate no Yuusha no Nariagari,7.7,22844,2019,https://www.imdb.com/title/tt9529546/,Animation|Action|Adventure
popularity,98,Ansatsu kyôshitsu,7.9,27380,2015,https://www.imdb.com/title/tt3837246/,Animation|Action|Comedy
popularity,99,Ergo Proxy,7.9,18561,2006,https://www.imdb.com/title/tt0791205/,Animation|Action|Adventure
popularity,101,Shingeki no kyojin,9.1,691912,2013,https://www.imdb.com/title/tt2560140/,Animation|Action|Adventure
popularity,102,Jujutsu Kaisen,8.5,189010,2020,https://www.imdb.com/title/tt12343534/,Animation|Action|Adventure
popularity,103,Sôsô no Furîren,8.9,67529,2023,https://www.imdb.com/title/tt22248376/,Animation|Adventure|Comedy
popularity,104,Vinland Saga,8.8,128976,2019,https://www.imdb.com/title/tt10233448/,Animation|Action|Adventure
popularity,105,Boku no Hîrô Akademia,8.2,116051,2018,https://www.imdb.com/title/tt5626028/,Animation|Action|Adventure
popularity,106,Death Note: Desu nôto,8.9,468861,2007,https://www.imdb.com/title/tt0877057/,Animation|Crime|Drama
popularity,107,Kimetsu no Yaiba,8.6,219083,2021,https://www.imdb.com/title/tt9335498/,Animation|Action|Adventure
popularity,108,Hunter x Hunter,9,187509,2016,https://www.imdb.com/title/tt2098220/,Animation|Action|Adventure
popularity,109,Hagane no renkinjutsushi,9.1,243125,2009,https://www.imdb.com/title/tt1355642/,Animation|Action|Adventure
popularity,110,Ore dake reberu appu na ken,8.5,104977,2024,https://www.imdb.com/title/tt21209876/,Animation|Action|Adventure
popularity,111,Jigokuraku,8.1,26957,2023,https://www.imdb.com/title/tt13911284/,Animation|Action|Adventure
popularity,112,Naruto: Shippûden,8.7,217277,2009,https://www.imdb.com/title/tt0988824/,Animation|Action|Adventure
popularity,113,Yûsha-kei ni Shosu Chôbatsu Yûsha 9004-tai Keimu Kiroku,8.4,2893,2026,https://www.imdb.com/title/tt32536168/,Animation|Action|Adventure
popularity,114,JoJo no Kimyô na Bôken,8.5,51183,2012,https://www.imdb.com/title/tt2359704/,Animation|Action|Adventure
popularity,115,One Punch Man: Wanpanman,8.6,221886,2015,https://www.imdb.com/title/tt4508902/,Animation|Action|Comedy
popularity,116,Naruto,8.4,163390,2005,https://www.imdb.com/title/tt0409591/,Animation|Action|Adventure
popularity,117,Kôdo Giasu: Hangyaku no Rurûshu,8.7,101016,,https://www.imdb.com/title/tt0994314/,Animation|Action|Drama
popularity,118,Monster,8.7,67444,2004,https://www.imdb.com/title/tt0434706/,Animation|Crime|Drama
popularity,119,Bleach,8.2,89694,2006,https://www.imdb.com/title/tt0434665/,Animation|Action|Adventure
popularity,120,Chainsaw Man,8.3,97277,2022,https://www.imdb.com/title/tt13616990/,Animation|Action|Comedy
popularity,121,Enen no Shôbôtai,7.6,17647,2019,https://www.imdb.com/title/tt9307686/,Animation|Action|Drama
