title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Sousou no Frieren,葬送のフリーレン,葬送的芙莉莲,2023,Adventure|Drama|Fantasy|Comedy,9.28,1,824853,100.0,8.9,11.0,67529.0,96.11,8.5,25.0,33738.0,90.7
Sousou no Frieren 2nd Season,葬送のフリーレン 第2期,葬送的芙莉莲 第二季,2026,Adventure|Drama|Fantasy|History,9.15,2,63262,99.75,8.3,185.0,1303.0,28.4,7.8,139.0,3819.0,46.51
Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,钢之炼金术师 FULLMETAL ALCHEMIST,2009,Action|Adventure|Drama|Fantasy,9.11,3,2290832,99.5,,,,,8.8,4.0,23854.0,98.84
Steins;Gate,STEINS;GATE,命运石之门,2011,Drama|Sci-Fi|Suspense|Comedy,9.07,4,1508466,99.25,8.8,28.0,90568.0,89.49,8.8,5.0,38414.0,98.45
Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,进击的巨人 第三季 Part.2,2019,Action|Drama|Suspense|Adventure,9.05,5,1773277,99.0,8.1,211.0,21994.0,18.29,8.7,9.0,22105.0,96.9
Gintama°,銀魂°,银魂°,2015,Action|Comedy|Sci-Fi,9.05,6,270776,98.75,8.7,51.0,20494.0,80.54,8.2,71.0,4588.0,72.87
Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,猎人,2011,Action|Adventure|Fantasy|Short,9.03,7,1958425,98.5,8.3,156.0,1970.0,39.69,8.2,56.0,6218.0,78.68
Gintama',銀魂',银魂',2011,Action|Comedy|Sci-Fi,9.02,8,255724,98.25,8.7,40.0,20494.0,84.82,8.7,12.0,13286.0,95.74
Gintama': Enchousen,銀魂' 延長戦,银魂' 延长战,2012,Action|Comedy|Sci-Fi,9.02,9,178265,98.0,8.7,37.0,20494.0,85.99,8.3,33.0,4501.0,87.6
Gintama.,銀魂。,银魂.,2017,Action|Comedy|Sci-Fi,8.98,10,158998,97.75,8.7,38.0,20494.0,85.6,7.7,163.0,2378.0,37.21
Bleach: Sennen Kessen-hen,BLEACH 千年血戦篇,死神 千年血战篇,2022,Action|Adventure|Supernatural,8.98,11,372638,97.5,9.0,6.0,73289.0,98.05,7.9,127.0,4472.0,51.16
Kaguya-sama wa Kokurasetai: Ultra Romantic,かぐや様は告らせたい-ウルトラロマンティック-,辉夜大小姐想让我告白-超级浪漫-,2022,Comedy|Romance|Action|Adventure,8.96,12,625724,97.25,7.7,237.0,13938.0,8.17,8.3,46.0,22090.0,82.56
Fruits Basket: The Final,フルーツバスケット The Final,进击的巨人 最终季,2021,Drama|Romance|Supernatural|Comedy,8.94,13,277094,97.0,8.5,80.0,12983.0,69.26,7.7,147.0,14390.0,43.41
Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,,2008,Drama|Romance|Crime,8.93,15,696628,96.5,8.9,13.0,468861.0,95.33,9.2,2.0,30058.0,99.61
Gintama,銀魂,银魂,2006,Action|Comedy|Sci-Fi|Drama,8.93,14,421797,96.75,8.5,74.0,8862.0,71.6,8.7,8.0,13401.0,97.29
Kusuriya no Hitorigoto 2nd Season,薬屋のひとりごと 第2期,药屋少女的呢喃 第二季,2025,Drama|Mystery|History,8.91,16,242817,96.25,8.6,57.0,22476.0,78.21,7.5,207.0,6396.0,20.16
Code Geass: Hangyaku no Lelouch R2,コードギアス 反逆のルルーシュ R2,Code Geass 反叛的鲁路修R2,2008,Award Winning|Drama|Sci-Fi|Action,8.91,17,1287868,96.0,8.7,45.0,101012.0,82.88,8.3,36.0,17840.0,86.43
3-gatsu no Lion 2nd Season,3月のライオン 第2シリーズ,3月的狮子 第二季,2017,Drama|Adventure|Comedy,8.9,18,214128,95.75,8.7,47.0,1013.0,82.1,8.8,6.0,10113.0,98.06
Monster,モンスター,,2004,Drama|Mystery|Suspense|Crime,8.89,19,502980,95.5,8.7,48.0,67444.0,81.71,,,,
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,銀魂. 銀ノ魂篇 後半戦,,2018,Action|Comedy|Sci-Fi,8.88,20,106365,95.25,,,,,,,,
Kusuriya no Hitorigoto,薬屋のひとりごと,药屋少女的呢喃,2023,Drama|Mystery|History,8.85,21,453973,95.0,8.6,66.0,22476.0,74.71,7.5,204.0,10792.0,21.32
